"doi","publication_date","title","financial_disclosure","grants","Id","grant_title"
"10.1371/journal.pone.0032187","2012-02-28","Structural Analysis of the C-Terminal Region (Modules 18–20) of Complement Regulator Factor H (FH)","This work was supported by start-up funding from the School of Biological Sciences at the University of Edinburgh to JPH, by Wellcome Trust grant 073131 to PNB, and by Wellcome Trust grant 088179 to DCS. HDTM was supported by a fellowship from the EMBL Interdisciplinary Postdocs programme (EIPOD). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","73131;88179",73131,"Role of complement receptor type 1 (CR1, CD35) in immune adherence, complement regulation and malarial pathogenesis - a structural approach."
"10.1371/journal.pone.0032187","2012-02-28","Structural Analysis of the C-Terminal Region (Modules 18–20) of Complement Regulator Factor H (FH)","This work was supported by start-up funding from the School of Biological Sciences at the University of Edinburgh to JPH, by Wellcome Trust grant 073131 to PNB, and by Wellcome Trust grant 088179 to DCS. HDTM was supported by a fellowship from the EMBL Interdisciplinary Postdocs programme (EIPOD). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","73131;88179",88179,"DISC1 biophysical properties and structure-function relationships."
"10.1371/journal.pone.0032371","2012-02-29","IL-10 Regulates Viral Lung Immunopathology during Acute Respiratory Syncytial Virus Infection in Mice","This work was supported by the Centre of Respiratory Infections (CRI), the MRC & Asthma UK Centre in Allergic Mechanisms of Asthma, the Erasmus Placement grant (UU-ER/2010/010744, M.S.) from the European Commission Life Long Learning programme, the Wellcome Trust (Programme 087805/Z/08/Z, P.O.) and the MRC career development award (Grant G0800311, C.J.). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","10744;87805",87805,"Immune regulation of viral lung disease."
"10.1371/journal.pone.0032379","2012-03-12","Robust and Fast Whole Brain Mapping of the RF Transmit Field B1 at 7T","This study was financially supported by the Wellcome Trust (http://www.wellcome.ac.uk/, grant number 079866/Z/06/Z), the BMBF (German Federal Ministry of Education and Research, project number 13N9208) and the MAN-BIOPSY research cluster of the Medical University of Vienna and the University of Vienna, Austria (SO76300004). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","79866",79866,"Imaging neuroscience at the Functional Neuroimaging Laboratory (FIL)"
"10.1371/journal.pone.0032520","2012-02-28","Absence of RIP140 Reveals a Pathway Regulating glut4-Dependent Glucose Uptake in Oxidative Skeletal Muscle through UCP1-Mediated Activation of AMPK","This work was supported by grants from the Wellcome Trust, Reference 079200/Z/06/Z (AF and JHS). http://www.wellcome.ac.uk/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","79200",79200,"Transcription repression of nuclear receptor action in ovulation and metabolic regulation."
"10.1371/journal.pone.0032619","2012-03-07","Socio-Economic Position and Type 2 Diabetes Risk Factors: Patterns in UK Children of South Asian, Black African-Caribbean and White European Origin","This work was supported by the BUPA Foundation [grant number TBF-S09-019]; The Wellcome Trust [grant number 068362/Z/02/Z] and the National Prevention Research Initiative (NPRI) [grant number GO501295]. The Funding Partners for the NPRI award were: British Heart Foundation; Cancer Research UK; Department of Health; Diabetes UK; Economic and Social Research Council; Medical Research Council; Health and Social Care Research and Development Office for Northern Ireland; Chief Scientist Officer, Scottish Government Health Directorate; Welsh Assembly Government; Food Standards Agency; and World Cancer Research Fund. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","68362",68362,"Ethnicity and cardiovascular risk factors: a study in children."
"10.1371/journal.pone.0032674","2012-03-08","Identification of ORC1/CDC6-Interacting Factors in Trypanosoma brucei Reveals Critical Features of Origin Recognition Complex Architecture","This work was supported by the Wellcome Trust (http://www.wellcome.ac.uk/), grant number 083485. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","83485",83485,"Characterisation of Orc1/Cdc6 and DNA replication initiation in Trypanosoma brucei."
"10.1371/journal.pone.0032836","2012-03-05","Detection of Mycobacterium tuberculosis in Sputum by Gas Chromatography-Mass Spectrometry of Methyl Mycocerosates Released by Thermochemolysis","This work was supported by the Wellcome Trust project grant 083597 and The Leverhulme Trust through an Emeritus Fellowship to D.E.M. and Project Grant F/00 094/BL (D.E.M., O.Y-C.L.). RM received salary support from the Department for International Development, UK. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","83597",83597,"The rapid and selective detection of Mycobacterium tuberculosis by field deployable thermochemolysis-gas chromatograph-mass spectrometry."
"10.1371/journal.pone.0032929","2012-03-29","Estimating Individual Exposure to Malaria Using Local Prevalence of Malaria Infection in the Field","Dr. Olotu was supported by Wellcome Trust Strategic Award (084538) which funded the study. Dr. Bejon is funded by the Medical Research Council(UK). Dr. Marsh is supported by Wellcome Trust Programme grants (077176). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","84538;77176",84538,"Developing research capacity and leadership in East Africa from the KEMRI- Wellcome Trust Research Programme, Kenya"
"10.1371/journal.pone.0032929","2012-03-29","Estimating Individual Exposure to Malaria Using Local Prevalence of Malaria Infection in the Field","Dr. Olotu was supported by Wellcome Trust Strategic Award (084538) which funded the study. Dr. Bejon is funded by the Medical Research Council(UK). Dr. Marsh is supported by Wellcome Trust Programme grants (077176). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","84538;77176",77176,"An integrated programme on the immuno-epidemiology of human blood stage immunity to P falciparum malaria."
"10.1371/journal.pone.0032958","2012-03-30","The Role of Inflammatory Pathway Genetic Variation on Maternal Metabolic Phenotypes during Pregnancy","The study is funded by grants R01 DK067459, R01-HD34242 and R01-HD34243 from the Eunice Kennedy Shriver National Institute of Child Health and Human Development and the National Institute of Diabetes, Digestive, and Kidney Diseases, by the National Center for Research Resources (M01-RR00048, M01-RR00080), and by the American Diabetes Association. RMF is funded by a Sir Henry Wellcome Postdoctoral Fellowship (Wellcome Trust grant: 085541/Z/08/Z). ATH is employed as a core member of the Peninsula NIHR Clinical Research Facility. Support has also been provided to local field centers by Diabetes UK (RD04/0002756), Kaiser Permanente Medical Center, KK Women's and Children's Hospital, Mater Mother's Hospital, Novo Nordisk, the Myre Sim Fund of the Royal College of Physicians of Edinburgh, and the Howard and Carol Bernick Family Foundation. The funders had no role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript.","85541",85541,"The role of maternal and offspring metabolic and anthropometric gene variants in fetal and childhood growth."
"10.1371/journal.pone.0033130","2012-03-07","Foxp2 Mutations Impair Auditory-Motor Association Learning","The contribution of Dr. Fisher was supported by the Wellcome Trust (grants 080971 and 075491,the Royal Society (United Kingdom) and the Max Planck Society. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","80971;75491",80971,"Uncovering the functions of the Foxp2 gene in the mammalian central nervous system."
"10.1371/journal.pone.0033180","2012-03-15","The Role of Host Genetics in Susceptibility to Influenza: A Systematic Review","This work was supported by the World Health Organization and the Wellcome Trust UK (grants 081613/Z/06/Z and 077078/Z/05/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","81613;77078",81613,"The epidemiology and transmission dynamics of avian influenza."
"10.1371/journal.pone.0033180","2012-03-15","The Role of Host Genetics in Susceptibility to Influenza: A Systematic Review","This work was supported by the World Health Organization and the Wellcome Trust UK (grants 081613/Z/06/Z and 077078/Z/05/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","81613;77078",77078,"Wellcome Trust Major Overseas Programme - Hospital for Tropical Disease Vietnam."
"10.1371/journal.pone.0034156","2012-03-30","Tuberculosis Incidence Rates during 8 Years of Follow-Up of an Antiretroviral Treatment Cohort in South Africa: Comparison with Rates in the Community","S.D.L. was funded by the Wellcome Trust, London, UK, with grant number 074641. R.W. was funded in part by the National Institute of Health through a CIPRA (COMPREHENSIVE INTERNATIONAL PROGRAM OF RESEARCH ON AIDS) grant 1U19AI53217-01 and also received support from O1 grant (A1058736-01A1). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","74641",74641,"Incident tuberculosis among HIV-infected individuals receiving antiretroviral treatment in South Africa."
"10.1371/journal.pone.0034221","2012-03-28","No Evidence for Infection of UK Prostate Cancer Patients with XMRV, BK Virus, Trichomonas vaginalis or Human Papilloma Viruses","This work was supported by the UK Medical Research Council [KNB U117592729] and the Wellcome Trust [KNB 084955]. KNB is a Wellcome Trust Career Development Fellow. The authors would like to acknowledge the support of The University of Cambridge, Cancer Research UK, and the National Institute for Health Research, which funds the Cambridge Bio-medical Research Centre, Cambridge, UK. The Human Research Tissue Bank is supported by the NIHR Cambridge Biomedical Research Centre. The authors would also like to acknowledge the support of the National Cancer Research Prostate Cancer: Mechanisms of Progression and Treatment (PROMPT) collaborative (grant code G0500966/75466), which has funded tissue and urine collections in Cambridge. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","84955;75466",84955,"Investigating the early post-entry steps of the retrovirus life cycle."
"10.1371/journal.pone.0034548","2012-04-12","Treatment of Hepatitis C as Prevention: A Modeling Case Study in Vietnam","This research was a part of the Wellcome Trust Mahidol University Oxford Tropical Medicine Research Programme, supported by the Wellcome Trust of Great Britain (Major Overseas Programme–Thailand Unit Core Grant 089275/Z/09/Z. www.wellcome.ac.uk) and the Li Ka Shing Foundation—University of Oxford Global Health Programme (www.lksf.org/en). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","89275",89275,"Thailand Major Overseas Programme Core Grant Renewal 2010 to 2015."
"10.1371/journal.pone.0034565","2012-04-10","Haplotype Analyses of Haemoglobin C and Haemoglobin S and the Dynamics of the Evolutionary Response to Malaria in Kassena-Nankana District of Ghana","The original case-control study was supported by US Naval Medical Research Centre and National Institute of Allergy and Infectious Diseases, National Institutes of Health contract NO1 A195363. This research was supported by the Medical Research Council (G0600718; G0600230) and the Wellcome Trust (090770/Z/09/Z). The Wellcome Trust also provides a core award to the Wellcome Trust Centre for Human Genetics (075491/Z/04; 090532/Z/09/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","90770;75491;90532",90770,"Resource centre for genomic epidemiology of malaria."
"10.1371/journal.pone.0034565","2012-04-10","Haplotype Analyses of Haemoglobin C and Haemoglobin S and the Dynamics of the Evolutionary Response to Malaria in Kassena-Nankana District of Ghana","The original case-control study was supported by US Naval Medical Research Centre and National Institute of Allergy and Infectious Diseases, National Institutes of Health contract NO1 A195363. This research was supported by the Medical Research Council (G0600718; G0600230) and the Wellcome Trust (090770/Z/09/Z). The Wellcome Trust also provides a core award to the Wellcome Trust Centre for Human Genetics (075491/Z/04; 090532/Z/09/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","90770;75491;90532",90532,"Understanding the genetic basis of common human diseases: core funding for the Wellcome Trust Centre for Human Genetics."
"10.1371/journal.pone.0034619","2012-04-11","3D Morphometric and Posture Study of Felid Scapulae Using Statistical Shape Modelling","This work was done as part of the Medical Engineering Solutions in Osteoarthritis Centre of Excellence, which is funded by the Wellcome Trust (Grant ID: 088844) and the Engineering and Physical Sciences Research Council (EPSRC). This work was also funded by the Biotechnology and Biological Sciences Research Council (UK) (Grant ID: BB/F000863/1). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","88844",88844,"A Centre for Medical Engineering Solutions in the Management of Osteoarthritis."
"10.1371/journal.pone.0034706","2012-04-24","Cervical Screening within HIV Care: Findings from an HIV-Positive Cohort in Ukraine","HB is supported by a Medical Research Council (MRC) Doctoral Training Account Ph.D. Studentship. CLT is funded by the WellChild Trust through a research training Fellowship. CT holds a Wellcome Trust Research Career Development Fellowship (grant number 081082) which supports the postnatal cohort. The ECS has previously received funding from the European Union FP6 (PENTA/ECS018865) and receives funding from the EU Seventh Framework Programme (FP7/2007-2013) under EuroCoord grant agreement n° 260694. Some of this work was undertaken at GOSH/UCL Institute of Child Health which received a proportion of funding from the UK Department of Health's NIHR Biomedical Research Centres funding scheme. The Centre for Paediatric Epidemiology and Biostatistics also benefits from funding support from the MRC in its capacity as the MRC Centre of Epidemiology for Child Health (grant number G0400546). The funders have no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","81082",81082,"Pregnancy, antiretroviral therapy and HIV disease progression in women."
"10.1371/journal.pone.0034820","2012-04-10","Lack of Evidence from Studies of Soluble Protein Fragments that Knops Blood Group Polymorphisms in Complement Receptor-Type 1 Are Driven by Malaria","PBT-Q was funded by the Darwin Trust of Edinburgh; JAR was funded by the Wellcome Trust (Senior Research Fellowship in Basic Biomedical Science grant no. 084226); CQS was funded by WT 081179; and JPA and RH were funded by National Institutes of Health - RO1 AI041592-13. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","84226;81179",84226,"Investigation into Plasmodium falciparum rosetting mechanisms and development of rosette-disrupting interventions to treat or prevent severe malaria."
"10.1371/journal.pone.0034820","2012-04-10","Lack of Evidence from Studies of Soluble Protein Fragments that Knops Blood Group Polymorphisms in Complement Receptor-Type 1 Are Driven by Malaria","PBT-Q was funded by the Darwin Trust of Edinburgh; JAR was funded by the Wellcome Trust (Senior Research Fellowship in Basic Biomedical Science grant no. 084226); CQS was funded by WT 081179; and JPA and RH were funded by National Institutes of Health - RO1 AI041592-13. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","84226;81179",81179,"Prevention of pathogenic complement amplification on self-surfaces by factor H - a structural investigation."
"10.1371/journal.pone.0035167","2012-04-12","A New Generation of T7 RNA Polymerase-Independent Inducible Expression Plasmids for Trypanosoma brucei","MC was funded by the Wellcome Trust, Grant Number 085956/Z/08/Z. JS was supported by a BBSRC (Biotechnology and Biological Sciences Research Council) studentship. BW and KG were funded by the Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","85956",85956,"Post-transcriptional regulation of gene expression in trypanosomes."
"10.1371/journal.pone.0035319","2012-04-25","Heterogeneous Mobile Phone Ownership and Usage Patterns in Kenya","COB was supported by the Models of Infectious Disease Agent Study program (cooperative agreement 1U54GM088558). The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Institute of General Medical Sciences or the National Institutes of Health. AMN is supported by the Wellcome Trust as an Intermediate Research Fellow (#095127). RWS is supported by the Wellcome Trust as Principal Research Fellow (#079080). AMN and RWS also acknowledge support from the Kenya Medical Research Institute. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","95127;79080",95127,"Mapping the risks of Plasmodium falciparum infections in areas of low transmission intensity ."
"10.1371/journal.pone.0035466","2012-04-09","Chronic Infection Drives Expression of the Inhibitory Receptor CD200R, and Its Ligand CD200, by Mouse and Human CD4 T Cells","Cancer Research UK (grant A8429) (SC RZ); Medical Research Council(grant G0701437) (ASM); The Wellcome Trust (grant WT082028MA) (NN FM) and (grant WT082814) (TB). The funders had no role in study design, data collection and analysis, decision to publish or preparation of the manuscript.","82814",82814,"Beyond antibodies: programming and regulation of T cells by B cells during infection."
"10.1371/journal.pone.0035551","2012-04-24","Differential Modulation of Retinal Degeneration by Ccl2 and Cx3cr1 Chemokine Signalling","This work was funded by the Wellcome Trust fellowship 074617/Z/04/Z (http://www.wellcome.ac.uk/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","74617",74617,"Molecular and cellular approaches to ocular angiogenesis."
"10.1371/journal.pone.0035605","2012-04-18","Evidence of Differential Allelic Effects between Adolescents and Adults for Plasma High-Density Lipoprotein","Financial support was provided by the National Health and Medical Research Council (http://www.nhmrc.gov.au)(241944, 389875), NIH (http://www.nih.gov/)(AA07535, AA13320, AA13321, AA14041, AA11998, AA17688, DA012854, DA019951), and Wellcome Trust for funding (WT084766/Z/08/Z). GWM was supported by a NHMRC Fellowship (619667), and RPSM was supported by a NHMRC Training Fellowship (611512). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","84766",84766,"Genome wide association study of endometriosis."
"10.1371/journal.pone.0035792","2012-04-25","IspE Inhibitors Identified by a Combination of In Silico and In Vitro High-Throughput Screening","This work was supported by the Wellcome Trust (grants WT082596 and WT083481) and a fellowship from the German Academic Exchange Service (DAAD) to NTL. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","82596;83481",82596,"Structure, specificity and mechanism of biosynthetic enzymes in trypanosomatids and inhibitor discovery of essential microbial functions."
"10.1371/journal.pone.0035792","2012-04-25","IspE Inhibitors Identified by a Combination of In Silico and In Vitro High-Throughput Screening","This work was supported by the Wellcome Trust (grants WT082596 and WT083481) and a fellowship from the German Academic Exchange Service (DAAD) to NTL. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","82596;83481",83481,"Wellcome Trust Centre for Drug Discovery."
"10.1371/journal.pone.0035851","2012-05-09","Auditory Deficit as a Consequence Rather than Endophenotype of Specific Language Impairment: Electrophysiological Evidence","This project was funded by Wellcome Trust Programme Grant 053335 (www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","53335",53335,"The nature and causes of language impairments in children."
"10.1371/journal.pone.0035955","2012-05-03","Acoustic Overexposure Increases the Expression of VGLUT-2 Mediated Projections from the Lateral Vestibular Nucleus to the Dorsal Cochlear Nucleus","This work has been supported by: Wellcome Trust (Ref 072033) to MH, http://www.wellcome.ac.uk; Royal Society (Ref RG061307) to MH, http://royalsociety.org; and Medisearch (University of Leicester) RM 36G0010 to MH, http://www2.le.ac.uk/colleges/medbiopsych. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","72033",72033,"Interactions between sub-threshold conductances and their functional relevance at auditory synapses."
"10.1371/journal.pone.0035973","2012-04-25","Assessment of Pseudomonas aeruginosa N5,N10-Methylenetetrahydrofolate Dehydrogenase - Cyclohydrolase as a Potential Antibacterial Drug Target","Funded by The Wellcome Trust (grants 082596 and 083481) and the European Commission Seventh Framework Programme (FP7/2007-2013; Aeropath). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","82596;83481",82596,"Structure, specificity and mechanism of biosynthetic enzymes in trypanosomatids and inhibitor discovery of essential microbial functions."
"10.1371/journal.pone.0035973","2012-04-25","Assessment of Pseudomonas aeruginosa N5,N10-Methylenetetrahydrofolate Dehydrogenase - Cyclohydrolase as a Potential Antibacterial Drug Target","Funded by The Wellcome Trust (grants 082596 and 083481) and the European Commission Seventh Framework Programme (FP7/2007-2013; Aeropath). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","82596;83481",83481,"Wellcome Trust Centre for Drug Discovery."
"10.1371/journal.pone.0036098","2012-05-02","NT2 Derived Neuronal and Astrocytic Network Signalling","This study was supported by the Biotechnology and Biological Sciences Research Council (BB/H008527/1)(www.bbsrc.ac.uk), Wellcome Trust (78068)(www.wellcome.ac.uk), Humane Research Trust(www.humaneresearch.org.uk), Alzheimer's Research Trust (PPG2007B/6 and PPG2009B-3)(www.alzheimersresearchuk.org/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","78068",78068,"Astrocytic modulation of thalamic synaptic transmission."
"10.1371/journal.pone.0036339","2012-04-30","Analysis of Adhesion Molecules and Basement Membrane Contributions to Synaptic Adhesion at the Drosophila Embryonic NMJ","This work was funded through a grant by the BBSRC (www.bbsrc.ac.uk)(BB/E009085/1) and Wellcome Trust (www.wellcome.ac.uk) VIP funding (092403/Z/10/Z) to AP, and FP7 Gencodys (Health-241995)(http://cordis.europa.eu/fetch?CALLER=FP7_PROJ_EN&ACTION=D&DOC=1&CAT=PROJ&RCN=94690) and NWO VIDI grants (http://www.nwo.nl/nwohome.nsf/pages/nwop_5vtgqw_eng) to AS. The EM Facilities used for this project are supported by grants from the BBSRC, The Wellcome Trust and the University of Manchester Strategic Fund. The Drosophila core facility is supported by the Wellcome Trust (www.wellcome.ac.uk)(087742/Z/08/Z). The publication costs were paid for by The Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","92403;94690;87742",87742,"Establishment of a Drosophila Core facility."
"10.1371/journal.pone.0036619","2012-05-04","Comparative SILAC Proteomic Analysis of Trypanosoma brucei Bloodstream and Procyclic Lifecycle Stages","This work was supported by a Wellcome Trust (www.wellcome.ac.uk) Programme Grant (085622) and Strategic Award (083481). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","85622;83481",85622,"The biosynthesis of glycoproteins in Trypanosoma brucei: basic and translational research."
"10.1371/journal.pone.0036619","2012-05-04","Comparative SILAC Proteomic Analysis of Trypanosoma brucei Bloodstream and Procyclic Lifecycle Stages","This work was supported by a Wellcome Trust (www.wellcome.ac.uk) Programme Grant (085622) and Strategic Award (083481). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","85622;83481",83481,"Wellcome Trust Centre for Drug Discovery."
"10.1371/journal.pone.0036692","2012-05-16","Investigation of Host Candidate Malaria-Associated Risk/Protective SNPs in a Brazilian Amazonian Population","This work was in part funded by the National Council for Scientific and Technological Development (CNPq-DECIT 410581/2006-2 and PAPES IVFIOCRUZ 400245/2006-0), the Wellcome Trust (WT077383/Z/05/Z, and 6090770/Z/09/Z) plus a core award to Wellcome Trust Centre for Human Genetics (075491/Z/04; 090532/Z/09/Z ) and the Wellcome Trust Sanger Institute (077012/Z/05/Z), the UK Medical Research Council (G0600718; G0600230), DPK is supported by the UK Medical Research Council (G19/9) and the International Atomic Energy Agency (IAEA). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","77383;75491;90532;77012",77383,"Learning from the human genome how protective immunity against malaria works."
"10.1371/journal.pone.0036692","2012-05-16","Investigation of Host Candidate Malaria-Associated Risk/Protective SNPs in a Brazilian Amazonian Population","This work was in part funded by the National Council for Scientific and Technological Development (CNPq-DECIT 410581/2006-2 and PAPES IVFIOCRUZ 400245/2006-0), the Wellcome Trust (WT077383/Z/05/Z, and 6090770/Z/09/Z) plus a core award to Wellcome Trust Centre for Human Genetics (075491/Z/04; 090532/Z/09/Z ) and the Wellcome Trust Sanger Institute (077012/Z/05/Z), the UK Medical Research Council (G0600718; G0600230), DPK is supported by the UK Medical Research Council (G19/9) and the International Atomic Energy Agency (IAEA). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","77383;75491;90532;77012",90532,"Understanding the genetic basis of common human diseases: core funding for the Wellcome Trust Centre for Human Genetics."
"10.1371/journal.pone.0036692","2012-05-16","Investigation of Host Candidate Malaria-Associated Risk/Protective SNPs in a Brazilian Amazonian Population","This work was in part funded by the National Council for Scientific and Technological Development (CNPq-DECIT 410581/2006-2 and PAPES IVFIOCRUZ 400245/2006-0), the Wellcome Trust (WT077383/Z/05/Z, and 6090770/Z/09/Z) plus a core award to Wellcome Trust Centre for Human Genetics (075491/Z/04; 090532/Z/09/Z ) and the Wellcome Trust Sanger Institute (077012/Z/05/Z), the UK Medical Research Council (G0600718; G0600230), DPK is supported by the UK Medical Research Council (G19/9) and the International Atomic Energy Agency (IAEA). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","77383;75491;90532;77012",77012,"Cancer Genome Project."
"10.1371/journal.pone.0036851","2012-06-05","The Influence of Spatial Registration on Detection of Cerebral Asymmetries Using Voxel-Based Statistics of Fractional Anisotropy Images and TBSS","This work was supported by the transregional Collaborative Research Centre SFB/TR 3 (Project A8) of the Deutsche Forschungsgemeinschaft (DFG), and by the Wellcome Trust 091593/Z/10/Z. Open access was supported by the Wellcome Trust 091593/Z/10/Z. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","91593",91593,"Core support for the Wellcome Trust Centre for Neuroimaging"
"10.1371/journal.pone.0036997","2012-05-29","Second-Line Antiretroviral Therapy in a Workplace and Community-Based Treatment Programme in South Africa: Determinants of Virological Outcome","Funding for this study was provided through a Wellcome Trust Clinical PhD Programme (VJ; Grant number 087261/Z/08/Z). The community programme was funded by the U.S. President’s Emergency Plan for AIDS Relief (PEPFAR; Grant number 5U2GPS000811) and the workplace programme by the employers. The content of this manuscript are solely the responsibility of the authors and do not necessarily represent the official views of these funders. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","87261",87261,"Wellcome Trust Clinical PhD Programme in International Health (LSHTM):- First line ART failure management in resource-limited settings: using observational data to inform decisions to switch from first- to second-line ART."
"10.1371/journal.pone.0037166","2012-05-25","Optimising Strategies for Plasmodium falciparum Malaria Elimination in Cambodia: Primaquine, Mass Drug Administration and Artemisinin Resistance","This study was funded by the Wellcome Trust of Great Britain (www.wellcome.ac.uk, grant number 077166/Z/05/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","77166",77166,"Major overseas programme Thailand. Thailand funds."
"10.1371/journal.pone.0037325","2012-05-17","Plasmodium vivax Malaria Endemicity in Indonesia in 2010","IE is funded by grants from the University of Oxford - Li Ka Shing Foundation Global Health Program and the Oxford Tropical Network. SIH is funded by a Senior Research Fellowship from the Wellcome Trust (#095066), which also supports PWG. SIH also acknowledges funding support from the RAPIDD program of the Science & Technology Directorate, Department of Homeland Security, and the Fogarty International Center, National Institutes of Health. APP is funded by a grant from the Wellcome Trust (#091835). HR, ES, NWP, SNT, and RK are funded by the Indonesian Ministry of Health. JKB is funded by a grant from the Wellcome Trust (#B9RJIXO). This work forms part of the output of the Malaria Atlas Project (MAP, http://www.map.ox.ac.uk), principally funded by the Wellcome Trust, U.K. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","95066;91835",95066,"Defining the population at risk and burden of disease of Plasmodium vivax malaria."
"10.1371/journal.pone.0037325","2012-05-17","Plasmodium vivax Malaria Endemicity in Indonesia in 2010","IE is funded by grants from the University of Oxford - Li Ka Shing Foundation Global Health Program and the Oxford Tropical Network. SIH is funded by a Senior Research Fellowship from the Wellcome Trust (#095066), which also supports PWG. SIH also acknowledges funding support from the RAPIDD program of the Science & Technology Directorate, Department of Homeland Security, and the Fogarty International Center, National Institutes of Health. APP is funded by a grant from the Wellcome Trust (#091835). HR, ES, NWP, SNT, and RK are funded by the Indonesian Ministry of Health. JKB is funded by a grant from the Wellcome Trust (#B9RJIXO). This work forms part of the output of the Malaria Atlas Project (MAP, http://www.map.ox.ac.uk), principally funded by the Wellcome Trust, U.K. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","95066;91835",91835,"ROAD-MAP: a repository for open access data collected by the Malaria Atlas Project."
"10.1371/journal.pone.0037326","2012-05-16","Delayed Retention of New Word-Forms Is Better in Children than Adults Regardless of Language Ability: A Factorial Two-Way Study","This work was funded by Wellcome Trust Programme Grant numbers 053335/Z/98/Z and 082498/Z/07/Z (www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","53335;82498",53335,"The nature and causes of language impairments in children."
